Instance,Global Circuit layer,Local Circuit Layer,Number of Teleported Qubits,Total Number of Teleported Qubits,Number of Teleported Qubit Swaps,Total Number of Teleported Qubits Minus Swaps,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24,q_25,q_26,q_27,q_28,q_29,q_30,q_31
5,56,6,0,24,0,14,M_1,M_3,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_2,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_1,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_3
5,57,7,0,24,0,14,M_1,M_3,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_2,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_1,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_3
5,58,8,2,26,1,15,M_1,M_3,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_2,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_1,M_0,M_3,M_3,M_3,M_3,M_3,M_3,M_3
5,59,9,0,26,0,15,M_1,M_3,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_2,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_1,M_0,M_3,M_3,M_3,M_3,M_3,M_3,M_3
5,60,10,0,26,0,15,M_1,M_3,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_2,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_1,M_0,M_3,M_3,M_3,M_3,M_3,M_3,M_3
6,60,0,0,26,0,15,M_1,M_3,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_2,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_1,M_0,M_3,M_3,M_3,M_3,M_3,M_3,M_3
6,61,1,0,26,0,15,M_1,M_3,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_2,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_1,M_0,M_3,M_3,M_3,M_3,M_3,M_3,M_3
6,62,2,0,26,0,15,M_1,M_3,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_2,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_1,M_0,M_3,M_3,M_3,M_3,M_3,M_3,M_3
6,63,3,0,26,0,15,M_1,M_3,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_2,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_1,M_0,M_3,M_3,M_3,M_3,M_3,M_3,M_3
6,64,4,0,26,0,15,M_1,M_3,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_2,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_1,M_0,M_3,M_3,M_3,M_3,M_3,M_3,M_3
6,65,5,2,28,1,16,M_1,M_3,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_2,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_1,M_0,M_3,M_3,M_3,M_3,M_3,M_3,M_3
6,66,6,2,30,1,17,M_0,M_3,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_1,M_0,M_3,M_3,M_3,M_3,M_3,M_3,M_3
6,67,7,0,30,0,17,M_0,M_3,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_1,M_0,M_3,M_3,M_3,M_3,M_3,M_3,M_3
6,68,8,0,30,0,17,M_0,M_3,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_1,M_0,M_3,M_3,M_3,M_3,M_3,M_3,M_3
6,69,9,0,30,0,17,M_0,M_3,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_1,M_0,M_3,M_3,M_3,M_3,M_3,M_3,M_3
6,70,10,0,30,0,17,M_0,M_3,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_1,M_0,M_3,M_3,M_3,M_3,M_3,M_3,M_3
7,70,0,0,30,0,17,M_0,M_3,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_1,M_0,M_3,M_3,M_3,M_3,M_3,M_3,M_3
7,71,1,2,32,1,18,M_0,M_3,M_2,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_3,M_3,M_3,M_3,M_3
