Instance,Global Circuit layer,Local Circuit Layer,Number of Teleported Qubits,Total Number of Teleported Qubits,Number of Teleported Qubit Swaps,Total Number of Teleported Qubits Minus Swaps,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19
6,66,6,0,49,0,31,M_0,M_2,M_0,M_3,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_3
6,67,7,0,49,0,31,M_0,M_2,M_0,M_3,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_3
6,68,8,0,49,0,31,M_0,M_2,M_0,M_3,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_3
6,69,9,0,49,0,31,M_0,M_2,M_0,M_3,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_3
6,70,10,0,49,0,31,M_0,M_2,M_0,M_3,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_3
7,70,0,0,49,0,31,M_0,M_2,M_0,M_3,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_3
7,71,1,2,51,1,32,M_0,M_1,M_0,M_3,M_2,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_3
7,72,2,0,51,0,32,M_0,M_1,M_0,M_3,M_2,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_3
7,73,3,0,51,0,32,M_0,M_1,M_0,M_3,M_2,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_3
7,74,4,0,51,0,32,M_0,M_1,M_0,M_3,M_2,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_3
7,75,5,2,53,1,33,M_0,M_1,M_2,M_3,M_0,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_3
7,76,6,0,53,0,33,M_0,M_1,M_2,M_3,M_0,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_3
7,77,7,0,53,0,33,M_0,M_1,M_2,M_3,M_0,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_3
7,78,8,2,55,1,34,M_0,M_1,M_2,M_3,M_3,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_0
7,79,9,0,55,0,34,M_0,M_1,M_2,M_3,M_3,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_0
7,80,10,0,55,0,34,M_0,M_1,M_2,M_3,M_3,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_0
8,80,0,0,55,0,34,M_0,M_1,M_2,M_3,M_3,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_0
8,81,1,2,57,1,35,M_0,M_1,M_2,M_3,M_3,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_0,M_3,M_3,M_3
8,82,2,0,57,0,35,M_0,M_1,M_2,M_3,M_3,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_0,M_3,M_3,M_3
8,83,3,0,57,0,35,M_0,M_1,M_2,M_3,M_3,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_0,M_3,M_3,M_3
8,84,4,2,59,1,36,M_0,M_1,M_1,M_3,M_3,M_2,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_0,M_3,M_3,M_3
8,85,5,0,59,0,36,M_0,M_1,M_1,M_3,M_3,M_2,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_0,M_3,M_3,M_3
8,86,6,0,59,0,36,M_0,M_1,M_1,M_3,M_3,M_2,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_0,M_3,M_3,M_3
8,87,7,0,59,0,36,M_0,M_1,M_1,M_3,M_3,M_2,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_0,M_3,M_3,M_3
8,88,8,2,61,1,37,M_2,M_1,M_1,M_3,M_3,M_0,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_0,M_3,M_3,M_3
8,89,9,0,61,0,37,M_2,M_1,M_1,M_3,M_3,M_0,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_0,M_3,M_3,M_3
8,90,10,0,61,0,37,M_2,M_1,M_1,M_3,M_3,M_0,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_0,M_3,M_3,M_3
9,90,0,0,61,0,37,M_2,M_1,M_1,M_3,M_3,M_0,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_0,M_3,M_3,M_3
9,91,1,0,61,0,37,M_2,M_1,M_1,M_3,M_3,M_0,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_0,M_3,M_3,M_3
9,92,2,2,63,1,38,M_2,M_1,M_1,M_3,M_0,M_3,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_0,M_3,M_3,M_3
9,93,3,0,63,0,38,M_2,M_1,M_1,M_3,M_0,M_3,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_0,M_3,M_3,M_3
9,94,4,0,63,0,38,M_2,M_1,M_1,M_3,M_0,M_3,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_0,M_3,M_3,M_3
9,95,5,0,63,0,38,M_2,M_1,M_1,M_3,M_0,M_3,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_0,M_3,M_3,M_3
9,96,6,2,65,1,39,M_1,M_1,M_1,M_3,M_0,M_3,M_2,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_0,M_3,M_3,M_3
9,97,7,0,65,0,39,M_1,M_1,M_1,M_3,M_0,M_3,M_2,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_0,M_3,M_3,M_3
9,98,8,0,65,0,39,M_1,M_1,M_1,M_3,M_0,M_3,M_2,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_0,M_3,M_3,M_3
9,99,9,2,67,1,40,M_1,M_1,M_1,M_3,M_0,M_3,M_2,M_1,M_1,M_0,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3
9,100,10,0,67,0,40,M_1,M_1,M_1,M_3,M_0,M_3,M_2,M_1,M_1,M_0,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3
10,100,0,0,67,0,40,M_1,M_1,M_1,M_3,M_0,M_3,M_2,M_1,M_1,M_0,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3
10,101,1,2,69,1,41,M_1,M_1,M_1,M_3,M_0,M_3,M_0,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3
10,102,2,0,69,0,41,M_1,M_1,M_1,M_3,M_0,M_3,M_0,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3
10,103,3,0,69,0,41,M_1,M_1,M_1,M_3,M_0,M_3,M_0,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3
10,104,4,2,71,1,42,M_1,M_1,M_1,M_3,M_0,M_0,M_3,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3
10,105,5,0,71,0,42,M_1,M_1,M_1,M_3,M_0,M_0,M_3,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3
10,106,6,0,71,0,42,M_1,M_1,M_1,M_3,M_0,M_0,M_3,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3
10,107,7,2,73,1,43,M_1,M_1,M_1,M_3,M_0,M_0,M_3,M_2,M_1,M_2,M_2,M_2,M_2,M_1,M_0,M_0,M_0,M_3,M_3,M_3
10,108,8,0,73,0,43,M_1,M_1,M_1,M_3,M_0,M_0,M_3,M_2,M_1,M_2,M_2,M_2,M_2,M_1,M_0,M_0,M_0,M_3,M_3,M_3
10,109,9,0,73,0,43,M_1,M_1,M_1,M_3,M_0,M_0,M_3,M_2,M_1,M_2,M_2,M_2,M_2,M_1,M_0,M_0,M_0,M_3,M_3,M_3
