Instance,Global Circuit layer,Local Circuit Layer,Number of Teleported Qubits,Total Number of Teleported Qubits,Number of Teleported Qubit Swaps,Total Number of Teleported Qubits Minus Swaps,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19
7,77,7,1,84,0,75,M_0,M_0,M_1,M_6,M_3,M_4,M_4,M_4,M_2,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
7,78,8,1,85,0,76,M_0,M_0,M_1,M_6,M_5,M_4,M_4,M_4,M_2,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
7,79,9,1,86,0,77,M_0,M_0,M_1,M_3,M_5,M_4,M_4,M_4,M_2,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
7,80,10,1,87,0,78,M_0,M_0,M_1,M_3,M_6,M_4,M_4,M_4,M_2,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
8,80,0,0,87,0,78,M_0,M_0,M_1,M_3,M_6,M_4,M_4,M_4,M_2,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
8,81,1,0,87,0,78,M_0,M_0,M_1,M_3,M_6,M_4,M_4,M_4,M_2,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
8,82,2,0,87,0,78,M_0,M_0,M_1,M_3,M_6,M_4,M_4,M_4,M_2,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
8,83,3,2,89,0,80,M_0,M_0,M_1,M_3,M_6,M_4,M_4,M_5,M_4,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
8,84,4,1,90,0,81,M_0,M_0,M_1,M_3,M_6,M_2,M_4,M_5,M_4,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
8,85,5,1,91,0,82,M_0,M_0,M_4,M_3,M_6,M_2,M_4,M_5,M_4,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
